SpriteName	Zh-Hans
Fork	馋(刀叉) 1
SteeringWheel	方向盘
Hairband1_Color	发带 A 1
HatB3_Outline	帽子 轮廓 5
FrameHair_A4_Color	头发 脸颊 7
NeckwearB3_Color	服装 颈部装饰 B 3
HammerEffect1	锤子 1
HairHighlight6_Color	挑染 >< 5 + 6
Pigtail_B2_Outline	头发 马尾 轮廓 19 + 20
WingF1_Upper_Outline	翅膀 轮廓 9 .1
Pigtail_A2_Gradient	头发 马尾 4
RedPacketCoin3	红包 2
FrameHair_A9_Gradient	头发 脸颊 18
TrashBin	垃圾桶 1
FacialHair_A2_Outline	胡子 A 轮廓 2
Tongue1	舔舔 | 舌头
HairShine4_Color	头发 高光 7 + 8
Toilet	马桶
FrameHair_A5_Gradient	头发 脸颊 10
CapeFront6_Outline	披风 前 | 披风 轮廓 6
FrameHair_A5_Color	头发 脸颊 9
CapeBack2_Color	披风 后 2
SunGlasses_Lens	太阳镜 Lens
FrameHair_A9_Outline	头发 脸颊 轮廓 17 + 18
Main8_Outline	服装 里侧 轮廓 8
Pigtail_A4_Color	头发 马尾 7
KeyboardKeyB	打字(普通) 2
Tie3_Color	服装 颈部装饰 C 3
Nose2	鼻子 2
FacialHair_A5_Color	胡子 A 5
AlertCustom_Color	表情贴纸 通知/提示 2
AlertCustom_Outline	表情贴纸 通知/提示 轮廓 2
SideHair_Branch_A2_Outline	头发 侧面分叉 A 轮廓 2
Horn1_Color	角 1
Outer3_Outline	服装 外侧 轮廓 3
SideHair_Branch_B1_Outline	头发 侧面分叉 B 轮廓 1
ElfEar_Outline	耳朵 轮廓 1.1
Outer4_Color	服装 外侧 4
Outer3_Color	服装 外侧 3
HairHighlight5_Outline	挑染 >< 轮廓 3 +4
SideHair_Branch_C1_Outline	头发 侧面分叉 C 轮廓 1
Stylus	手写笔
Tear2_Outline	眼睛 眼泪 3
Donut1	甜甜圈 1
Donut2	甜甜圈 2
SideHair_Branch_A1_Outline	头发 侧面分叉 A 轮廓 1
Eye1_Light	眼睛 虹膜浅色 1 + 2
Angry2	表情贴纸 生气 2
WingF1_Upper_Color	翅膀 9 .1
NeckwearB2_Color	服装 颈部装饰 B 1 + 2
SideHair_Branch_A1_Color	头发 侧面分叉 A 1
SignRoundText1	圆形标牌 文字
Collar2_Outline	服装 领子 轮廓 2
MusicalNote2	音乐 音符 2
FacialHair_B4_Color	胡子 B 4
